"title","icon","rating","tagline","titles"
"inSites: Insights Bar","https://apps.shopifycdn.com/listing_images/73d3261781845399f053c5d64705d58c/icon/e1d4a3e4bc2008bb5db3deb73b621c96.png?height=84&width=84",5,"Do you know the Conversion Rate of every Product?","inSites: Insights Bar	(5)"
"Product Warnings & Pop Ups","https://apps.shopifycdn.com/listing_images/1cd9bb3c1c70d0b33d8ddd326d5a9f71/icon/f6dd74af6907ccde92b0b46f93671486.png?height=84&width=84",5,"Adds custom warning labels and pop ups to products pages","Product Warnings & Pop Ups	(5)"
"Pinterest Feed Ninja","https://apps.shopifycdn.com/listing_images/4326b7123b10f48ac5523e918e8e21c8/icon/cc4d6c89e530178bcd1617f57c684fb4.jpg?height=84&quality=90&width=84",0,"Widget to display Pinterest Profile, Board and Pin","Pinterest Feed Ninja	(0)"
"DataChamp Excel/CSV Exports","https://apps.shopifycdn.com/listing_images/243881f0834f672bb01e8c08e90fa80e/icon/9e8be8e4bd07892031b0491103c60d53.png?height=84&width=84",5,"Easily export orders and more. Scheduled. Customized CSV/Excel","DataChamp Excel/CSV Exports	(5)"
"Rotating Announcement Bar ","https://apps.shopifycdn.com/listing_images/b0dd7bc60bc7f254faf141d9b02d7472/icon/51cf8826eaa2324040fc4aa16abef1bd.png?height=84&width=84",4.9,"Free Shipping Bar, Countdown bar, Promotion Bar for Upsell","Rotating Announcement Bar 	(4.9)"
"Simple Free Shipping Bar","https://apps.shopifycdn.com/listing_images/07c95d32ff1d90cc0c038016243c9800/icon/89ef3880d3fef8fdd01441897de80a49.png?height=84&width=84",0,"Show your free shipping bar to increase sales","Simple Free Shipping Bar	(0)"
"Maisie AI Chatbots","https://apps.shopifycdn.com/listing_images/077af0e473a4284b33acacae7a039cab/icon/ef33245429c4a8a695a6e20f5225fcc6.png?height=84&width=84",4,"Chatbots for automated sales, marketing & support","Maisie AI Chatbots	(4)"
"LinkHaitao Affiliate Network","https://apps.shopifycdn.com/listing_images/388c13bb061c593ab2f70804c30c9195/icon/72866b166c3290b435509f7865b17971.png?height=84&width=84",2,"Grow sales in China with China's largest affiliate network","LinkHaitao Affiliate Network	(2)"
"Mighty PO Box Blocker","https://apps.shopifycdn.com/listing_images/3915bbfbc9d6ff37c467af26a2ab2be3/icon/b53376aeafc6dff45b4c2079d7f1b55a.png?height=84&width=84",0,"Warn customers against entering in PO Box addresses.","Mighty PO Box Blocker	(0)"
"New: Ad Targeting Engine","https://apps.shopifycdn.com/listing_images/6512adf9f23fd52e2ea1f68f1816009b/icon/78d24a13c32585158348ec1191ceef6e.png?height=84&width=84",5,"Boost performance with customer intelligence & smart audiences","New: Ad Targeting Engine	(5)"
"Easy Catalogs ‑ Unlimited","https://apps.shopifycdn.com/listing_images/e7745339e4df3781b452ccc75474cad5/icon/283b25eac868b8bdf8da4afd9a2f2be2.png?height=84&width=84",5,"Create unlimited PDF catalogs saved on cloud, print or share!","Easy Catalogs ‑ Unlimited	(5)"
"Appy: Sales Announcement Bar","https://apps.shopifycdn.com/listing_images/7ad714359d5f961728b8f29a4af75f14/icon/781fcebd49cfe61e27dfdccb991fde4d.jpg?height=84&quality=90&width=84",5,"Capture emails, free backgrounds and highlight offers.","Appy: Sales Announcement Bar	(5)"
"Trackiner ‑ Order Tracking","https://apps.shopifycdn.com/listing_images/4e6edfeeba80251beaab72eca08a9e62/icon/b772ec1fc28d5bd0a74531520941e6ba.png?height=84&width=84",5,"Track order - Tracking number - 900+ carriers supported + unli","Trackiner ‑ Order Tracking	(5)"
"Kreator Fulfillment","https://apps.shopifycdn.com/listing_images/b26203c23537d81d72a2a8170d33410a/icon/5dac9937ba7401f06bad515d57f32542.png?height=84&width=84",0,"Cutting-edge, customized, and stable fulfillment service.","Kreator Fulfillment	(0)"
"Batch – Collect Prepaid Offers","https://apps.shopifycdn.com/listing_images/f45aa6336322cb39f628c6a7b9b087c5/icon/82ef840c48bf5877ee91d13a4cb3baaa.png?height=84&width=84",0,"Get offers from shoppers, recovered carts & instant revenue","Batch – Collect Prepaid Offers	(0)"
"Event Management With Tickets","https://apps.shopifycdn.com/listing_images/6b0abedb370e49e71b2cb09fbf43892e/icon/fc7d4aaf465ea7afd23ff41a1e17b7a8.png?height=84&width=84",0,"Manage Events and Sell Tickets","Event Management With Tickets	(0)"
"Fixed Add To Cart Bar PRO","https://apps.shopifycdn.com/listing_images/290d790dd0a6e60ff8fcbbb3a70ce342/icon/e17ed40095b0b930d4a20fe7e2914d6e.png?height=84&width=84",5,"Fixed/Sticky Add To Cart Button + Quick Buy + Sticky Cart","Fixed Add To Cart Bar PRO	(5)"
"spotter.com.mt ‑ XML Generator","https://apps.shopifycdn.com/listing_images/7fbd5c27bb6d6d088e7e8a18a74280e4/icon/9cdd92e69ccf14925bb714f6f3c00f25.png?height=84&width=84",0,"Connect your eshop to spotter.com.mt","spotter.com.mt ‑ XML Generator	(0)"
"NeedyTab","https://apps.shopifycdn.com/listing_images/777c34245bf692b98c308553e8153dd0/icon/b91bd1982613d3fb79ba4da4fb2be7ec.png?height=84&width=84",0,"The simplest customer retention app in the world.","NeedyTab	(0)"
"Insightful LinkedIn Pixel","https://apps.shopifycdn.com/listing_images/2be109842e1f472203e77a4183423ecf/icon/5908df66f3680c1db558ed917502fa6e.png?height=84&width=84",0,"One click install conversion tracking manager","Insightful LinkedIn Pixel	(0)"
"Print Aura","https://apps.shopifycdn.com/listing_images/1989c326aaaf62c2694cae84866f1a91/icon/b781fa19a993dd217cc323be7d195855.jpg?height=84&quality=90&width=84",3.1,"We print & ship your orders under your brand, hassle free","Print Aura	(3.1)"
"Notify","https://apps.shopifycdn.com/listing_images/8d15e3023d2d79ca5c9bf50647563852/icon/4df90909088e09c1642cd0d5a6a49375.png?height=84&width=84",4.7,"Boost your Sales and increase Conversion with sense of urgency","Notify	(4.7)"
"ZM ShopMaster","https://apps.shopifycdn.com/listing_images/5fabc0cb505491ff74285f980f980b7e/icon/da320ded9cd59663538925fb3a52cd5d.png?height=84&width=84",0,"The power of an autoresponder, the simplicity you need.","ZM ShopMaster	(0)"
"Affiliate External Outlinks","https://apps.shopifycdn.com/listing_images/db66697460ac10925c5c43bb6e044fe5/icon/51db8c0c0f3c3a47cd79f401de64b890.png?height=84&width=84",5,"Setup affiliate or referral links to promote external pages","Affiliate External Outlinks	(5)"
"Tier","https://apps.shopifycdn.com/listing_images/058c17b88f182ac5f18d7464ebb3c6d1/icon/27388d5a189e96ac35d9eaa6f1c9a06a.png?height=84&width=84",5,"Build bundles & kits with dynamic discounts.","Tier	(5)"
"Otis Abandoned Cart Recovery","https://apps.shopifycdn.com/listing_images/50fd5f3daa097723a2187c1d13e78343/icon/a52afa2d8ff14785f178762d1978d8dc.png?height=84&width=84",4.9,"FREE Web Push Re-engage, Post Purchase Upsell, PWA Mobile App","Otis Abandoned Cart Recovery	(4.9)"
"FAQ & Order Tracking Widget","https://apps.shopifycdn.com/listing_images/ae3dafb7def2b1a87473307494b486bf/icon/19bd37c3e172d9afa41706e5c5f9e98f.png?height=84&width=84",5,"Easily build an FAQ, help center & provide order tracking.","FAQ & Order Tracking Widget	(5)"
"QuoteMates","https://apps.shopifycdn.com/listing_images/6ec290823daabab334df93b8e6ced648/icon/46e207a069d19ab2ef2ac8486b360fe2.png?height=84&width=84",0,"Easy sales quotes for B2B customers","QuoteMates	(0)"
"Minta","https://apps.shopifycdn.com/listing_images/442416e2220ba46499fdbaca987c0652/icon/d9aab176c046c8df0e06bb11a3ea9dd9.png?height=84&width=84",5,"Automated video ads created especially for you","Minta	(5)"
"Instant search bar","https://apps.shopifycdn.com/listing_images/783115f7f0a0396e05f1baab9b276204/icon/de5e18adab8aca3bdd49651812da9f6e.jpg?height=84&quality=90&width=84",5,"Smart search box, predictive search, product search","Instant search bar	(5)"
"Products Bulk Editor","https://apps.shopifycdn.com/listing_images/a77080d01318cb2245663fc8fe9c1233/icon/17a9f897fcfe76a060d4b09e8e39fad9.png?height=84&width=84",5,"Manage Products & saves time","Products Bulk Editor	(5)"
"Allergen logos / icons","https://apps.shopifycdn.com/listing_images/998ab05b37c99884344fd69728c92e6c/icon/d3ed897f52f4498b8ef2cbf340fc9c46.png?height=84&width=84",0,"Add beautiful allergen logos to your store.","Allergen logos / icons	(0)"
"Dash101 ‑ Ship All Over India","https://apps.shopifycdn.com/listing_images/c67556812db730be513cc9d94802dad8/icon/ba6f3c2762cb19fb46240288db19d1d3.png?height=84&width=84",0,"eCommerce Logistics, Shipping Solutions & Courier Aggregator","Dash101 ‑ Ship All Over India	(0)"
"Stock Take","https://apps.shopifycdn.com/listing_images/7a0dba70e42c8cd67375b3f1623dbdbd/icon/381bd3fef1a302a671d4ef242288cf13.png?height=84&width=84",5,"Take inventory by scanning barcodes with your phone or scanner","Stock Take	(5)"
"Increase Traffic ‑ Interlayer","https://apps.shopifycdn.com/listing_images/9b9c730ce45e6c4d4da60b6a8853ce09/icon/48f031e51bdd5f6f76a0f1aa2c7c0ce9.jpg?height=84&quality=90&width=84",0,"Drive quality traffic to your store and increase your sales","Increase Traffic ‑ Interlayer	(0)"
"Appointments for Pickup Orders","https://apps.shopifycdn.com/listing_images/ceeb855221294120d90e720d550bb57e/icon/1e69fd5dce75d00e2cb68640642249de.png?height=84&width=84",5,"Pick Up Booking Including Scheduling for Curbside Drive Up","Appointments for Pickup Orders	(5)"
"Abandoned Cart Recovery ‑ FREE","https://apps.shopifycdn.com/listing_images/4d5b689623cb3ec0ffa77973968c12ad/icon/e8576a27bb7fa1e7e6bf26f1f811b41d.png?height=84&width=84",4.7,"Abandoned Cart Recovery via Web Push Notifications - 100% FREE","Abandoned Cart Recovery ‑ FREE	(4.7)"
"Plant Trees for Climate Action","https://apps.shopifycdn.com/listing_images/dc9d577f86d12f33befb56e7ea3546fb/icon/d6d24ac9ccca046cde405c8670782b1c.jpg?height=84&quality=90&width=84",0,"Plant trees at checkout to support people & the planet.","Plant Trees for Climate Action	(0)"
"Loot Box","https://apps.shopifycdn.com/listing_images/7aaf2e6919f46766d6182ffd6cf66ee9/icon/d9b0a190ae82e3ae968402b07c6cefab.png?height=84&width=84",0,"Drive sales and increase cart value with prizes in a Loot Box!","Loot Box	(0)"
"Ageco ‑ Age Verification","https://apps.shopifycdn.com/listing_images/a0c40b33c886d8e41c9eb5895bd251a1/icon/5d2ba7c627614d4d3e53e5cacf596ff5.png?height=84&width=84",5,"Restrict the age of your store visitors","Ageco ‑ Age Verification	(5)"
"All in one Chat Button","https://apps.shopifycdn.com/listing_images/504416b8bec0e5ebc7593793e78f7ee8/icon/e531d2bd06312809f3260f5df01ca37b.png?height=84&width=84",0,"Connect with customers on WhatsApp, Facebook & many more","All in one Chat Button	(0)"
"Legal ‑ France","https://apps.shopifycdn.com/listing_images/606fc3ea10ec9bb5d01118ec1915f48f/icon/bdd1a305dd91bd255c4439f55d6f703a.png?height=84&width=84",0,"Le kit indispensable de mentions légales tout en un !","Legal ‑ France	(0)"
"Page Speed Optimizer ‑ [FREE]","https://apps.shopifycdn.com/listing_images/43fd9d738ee38bec9addc99c01b9fd9d/icon/e8576a27bb7fa1e7e6bf26f1f811b41d.png?height=84&width=84",4.4,"FREE increase in site speed. 1-click. Boost Conversions & SEO","Page Speed Optimizer ‑ [FREE]	(4.4)"
"Atlas ‑ Help Center / FAQ","https://apps.shopifycdn.com/listing_images/470612fb338dbbff1bb29ef807bd00bc/icon/d78bb0cb0bf792841e89efefde122b82.png?height=84&width=84",0,"Build a superior Help Center. Customer support SEO pages.","Atlas ‑ Help Center / FAQ	(0)"
"MyyShop ‑ Dropshipping App","https://apps.shopifycdn.com/listing_images/8e5d885c3b0bbb2d0943e462fda11210/icon/4b9fc895271891db6c011d9dfcaebdf1.png?height=84&width=84",0,"Find winning products in MyyShop and dropship from US&EU.","MyyShop ‑ Dropshipping App	(0)"
"Trust Hero ‑ Trust Badges FREE","https://apps.shopifycdn.com/listing_images/91e383ab281a1bfe9cb4642f8764e313/icon/e8576a27bb7fa1e7e6bf26f1f811b41d.png?height=84&width=84",4.3,"More Trust, Security and Sales! 100% Free Trust Badges","Trust Hero ‑ Trust Badges FREE	(4.3)"
"Advanced Shipping Manager","https://apps.shopifycdn.com/listing_images/3a64093bf64a57e9a9f5f4b04a78e16a/icon/856e8e4922138a57c53091d87d80025d.png?height=84&width=84",5,"Accurate Shipping Rates for Online Stores","Advanced Shipping Manager	(5)"
"Completeful: Print on Demand","https://apps.shopifycdn.com/listing_images/6e23f09f120fa563204cc8b8593d6453/icon/2f8dd362e36250bad74a27ac9d7fe315.png?height=84&width=84",0,"Create and dropship unique made to order products","Completeful: Print on Demand	(0)"
"Digital Assistant Pro","https://apps.shopifycdn.com/listing_images/dbcbae74d7bc7964c8dc7ce3b93b4a60/icon/5ceb6d50d7e5076ef365f2a5e3f68e13.jpg?height=84&quality=90&width=84",0,"Selling Digital products made easier than ever","Digital Assistant Pro	(0)"
"EU Cookie Bar GDPR ‑ 100% FREE","https://apps.shopifycdn.com/listing_images/56e3847f6992e05a68032562b35608e0/icon/e8576a27bb7fa1e7e6bf26f1f811b41d.png?height=84&width=84",4.3,"Provide a cookie banner to EU customers. GDPR consent","EU Cookie Bar GDPR ‑ 100% FREE	(4.3)"
"IndocoLite","https://apps.shopifycdn.com/listing_images/7c6485e68b985b8ce805c655b420f98e/icon/20b4436447de2b2f72e78702ba175add.png?height=84&width=84",0,"Indonesian Realtime Shipping Rate","IndocoLite	(0)"
"PS Top Products","https://apps.shopifycdn.com/listing_images/6cd50e4d6c63a27ffdbc056530c85538/icon/9e2801a07a38a5e92646c2989002f6f9.png?height=84&width=84",0,"Hand picked products by our experts for your business","PS Top Products	(0)"
"SEO Optimizer ‑Trusted SEO app","https://apps.shopifycdn.com/listing_images/cd71ab37aa85ad846ef6816c0d44701d/icon/e8576a27bb7fa1e7e6bf26f1f811b41d.png?height=84&width=84",4.6,"Trusted by 382,000 stores since 2015. US based SEO support.","SEO Optimizer ‑Trusted SEO app	(4.6)"
"Quick View Maker","https://apps.shopifycdn.com/listing_images/c57dcfa188d59e6f2970d85bcdea5b7c/icon/0d9f9bad907762c5969a45381ae215ad.png?height=84&width=84",0,"Quickly display product details without going to product page","Quick View Maker	(0)"
"SetuBridge Spin To Win","https://apps.shopifycdn.com/listing_images/2b13b3ccbb1d919ba1caafe8e1dcf820/icon/15597d0d0392ada8b02de8d31f532c76.png?height=84&width=84",0,"Offer discount & engage visitors via spinner game","SetuBridge Spin To Win	(0)"
"MultiParcels Shipping & Labels","https://apps.shopifycdn.com/listing_images/0ed52940394668238792c16173b6fafc/icon/73e72bbc87b8fc4c8555c37fcf310a27.png?height=84&width=84",0,"Save time with multi-carrier shipping, tracking and more!","MultiParcels Shipping & Labels	(0)"
"Como Banner","https://apps.shopifycdn.com/listing_images/a1a1761b24f909ef7b54a7a525097448/icon/867db23de2dd1f5e095d6e01af7a23e0.jpg?height=84&quality=90&width=84",0,"Easier way to setup Banners for promotion, notification, event","Como Banner	(0)"
"Stock Ninja","https://apps.shopifycdn.com/listing_images/80d6a3e6cbc9b76b879eb297802b91c6/icon/6eba348057b0d32a7fd336830bad4e05.jpg?height=84&quality=90&width=84",0,"Update variant's price,compare price,quantity based on sku.","Stock Ninja	(0)"
"Store Protection Hero","https://apps.shopifycdn.com/listing_images/10595c6baa4e72c7eb6c9fa3a2392ec6/icon/76da11f472bafbbf81d314af028eb311.png?height=84&width=84",0,"Disable right click, protect store images, increase security","Store Protection Hero	(0)"
"Facebook Messenger Marketing","https://apps.shopifycdn.com/listing_images/c98cf51db914ae19859922026365355c/icon/e8576a27bb7fa1e7e6bf26f1f811b41d.png?height=84&width=84",4.1,"80% Open Rates :-) Facebook Messenger Marketing! Recart Sales","Facebook Messenger Marketing	(4.1)"
"Upsell Bundles ‑Product Bundle","https://apps.shopifycdn.com/listing_images/3f0257d2665f37535e593051dd351bdc/icon/e8576a27bb7fa1e7e6bf26f1f811b41d.png?height=84&width=84",4.2,"Extra Sales through Product Bundles - Upsell Bundles","Upsell Bundles ‑Product Bundle	(4.2)"
"Snapshot: Profit Tracking","https://apps.shopifycdn.com/listing_images/9404146c45b590b1eddecf97a3963880/icon/2b9e3db7dd09b05b7c3e58aee46f7a6d.png?height=84&width=84",0,"Track your revenue, ad spend, shipping and more","Snapshot: Profit Tracking	(0)"
"Discounted Upsells‑ Cross Sell","https://apps.shopifycdn.com/listing_images/d7945895837a283728aceab0a824e823/icon/e8576a27bb7fa1e7e6bf26f1f811b41d.png?height=84&width=84",4.3,"Upsell and Cross Sell = More Sales. Top Rated Upsell app","Discounted Upsells‑ Cross Sell	(4.3)"
"Pidgeon","https://apps.shopifycdn.com/listing_images/5df3e0a3da09c3d456a4fc94adedbc3f/icon/a01e19b18d0e28d18f96cccd4e9747d6.png?height=84&width=84",0,"Delivery route optimization","Pidgeon	(0)"
"Discounted Pricing ‑ Discounts","https://apps.shopifycdn.com/listing_images/1424d3f83c31321aaf26e89ce41ea8f9/icon/e8576a27bb7fa1e7e6bf26f1f811b41d.png?height=84&width=84",3.8,"Discounted Pricing! The Premier Discount app for more Sales","Discounted Pricing ‑ Discounts	(3.8)"
"FasterBox","https://apps.shopifycdn.com/listing_images/98e2a1edde3492d1d8b9e9dc9bb1a701/icon/371584f40dfcb6da6df737e7a78103e7.png?height=84&width=84",0,"Justo a tiempo","FasterBox	(0)"
"Instagram Feed by Arena","https://apps.shopifycdn.com/listing_images/bcebe89997ec2f09c4d6345764e4c030/icon/b4d5f876b555b86d03ee8f2ab44f7e1a.png?height=84&width=84",0,"Instagram Feed to Show Instagram Photos on Store as a Gallery","Instagram Feed by Arena	(0)"
"Ambassador Storefronts","https://apps.shopifycdn.com/listing_images/5b1352bed4efa653bdb1ad65bc670480/icon/a1fe59b987c793539171bf7cb4358c87.png?height=84&width=84",0,"Put sales associates & influencers in your online store","Ambassador Storefronts	(0)"
"Google Shopping Product Feed","https://apps.shopifycdn.com/listing_images/e7b2ebef983a2669cfd30d03e3742c18/icon/3b100b744b4d0ea2bcdf4db1b35f444d.png?height=84&width=84",0,"Sync products to Google Merchant & run Shopping Ads with ease","Google Shopping Product Feed	(0)"
"Kindly ‑ Payment Reminder","https://apps.shopifycdn.com/listing_images/d7314b8c22040b1faeae59af75ba322a/icon/e0f275cde695e45f16b6a3adc9c4d388.png?height=84&width=84",0,"Remind customers to pay their pending invoice.","Kindly ‑ Payment Reminder	(0)"
"Fundraiser","https://apps.shopifycdn.com/listing_images/4b7edad5bc09280390795488b55ff5a7/icon/8b86e37a13c4f15c44c0443ba497ecde.png?height=84&width=84",5,"Raise funds for the right cause - the best way","Fundraiser	(5)"
"Inventory Value Now and Then","https://apps.shopifycdn.com/listing_images/a717cff10dd713d9b212e4316650bb2d/icon/1d1500c19b323716cfd31c65eed49bbb.png?height=84&width=84",0,"Always know your true value","Inventory Value Now and Then	(0)"
"MediaProof","https://apps.shopifycdn.com/listing_images/baffa0ffd9a9d4845673bf1a965c2730/icon/d9bdf449c921bd86402ba9981f2e4580.png?height=84&width=84",0,"Skyrocket Conversions with Custom Social Proof Notifications","MediaProof	(0)"
"TipTop ‑ TikTok Shoppable Feed","https://apps.shopifycdn.com/listing_images/6e40cd8758ceede90b34b30b4675c2dd/icon/7a408f947ecc335cd09ebc40b804d2c3.jpg?height=84&quality=90&width=84",5,"Increase sales, engagement & awareness with a TikTok shop feed","TipTop ‑ TikTok Shoppable Feed	(5)"
"Stamped.io Product Reviews UGC","https://apps.shopifycdn.com/listing_images/00f756e9e94e8c3cfb14266ae483d0f0/icon/a3db3cb9071a45f339f2e1f6370d1331.png?height=84&width=84",4.9,"Collect Product Reviews, Photos/Videos Reviews, Q&A and UGC","Stamped.io Product Reviews UGC	(4.9)"
"Ship Box Courier Boutique","https://apps.shopifycdn.com/listing_images/575b63f82df39b00a2d6d0402574a4aa/icon/c137184d3747bd39233e8e0cc8fbaf8d.jpg?height=84&quality=90&width=84",0,"¡Tus encomiendas nunca llegaron tan bien a tus clientes!","Ship Box Courier Boutique	(0)"
"Clever Twitter Pixel","https://apps.shopifycdn.com/listing_images/9161a9bc4226993abd3c542b9a0182ea/icon/bd7b8a285561d497309da35a096ce3a0.png?height=84&width=84",0,"One Click Conversion Tracking","Clever Twitter Pixel	(0)"
"360 Fraudalytix","https://apps.shopifycdn.com/listing_images/b7297603748ac5a500f7deef9a33d5ff/icon/cace58e7a1cd48bb04435c96366dac87.jpg?height=84&quality=90&width=84",0,"Detect fraud before it happens","360 Fraudalytix	(0)"
"Yoycol: Print on Demand","https://apps.shopifycdn.com/listing_images/8bde964f38206a86bf94937746e7d74c/icon/338ba9afabd52e8ce6660b050cdcf86f.jpg?height=84&quality=90&width=84",0,"Print-on-demand dropshipping, make design easy for everyone.","Yoycol: Print on Demand	(0)"
"Vast SEO ‑ Organic Traffic","https://apps.shopifycdn.com/listing_images/2abea69d1659e8e12d65ac999d013e73/icon/e2287a6b292dde49e58c972f7bcab5e9.png?height=84&width=84",0,"Fix SEO, Optimize SEO issues to increase more traffic","Vast SEO ‑ Organic Traffic	(0)"
"SHIPSI Instant Delivery","https://apps.shopifycdn.com/listing_images/27fa1d4d3e99ee56f763e741ef4675cf/icon/804d5f7f4bfc5a4dca2d6d44a7259f7d.png?height=84&width=84",5,"Friendly, affordable, same-day shipping","SHIPSI Instant Delivery	(5)"
"Discordify: Live Discord Chat","https://apps.shopifycdn.com/listing_images/931baa204624b8aa28d9f5fcac1ccbf1/icon/b70a8082f09bfe7eb092ccb7926c337d.png?height=84&width=84",0,"Widget for Discord server text channels","Discordify: Live Discord Chat	(0)"
"Agify ‑ Age Check/Verification","https://apps.shopifycdn.com/listing_images/c138c76ee07b3fe38e53ecee6e97b08e/icon/a72917a11701148bd3febeb99ba336b9.png?height=84&width=84",0,"Prevent and restrict underage visitors from viewing your store","Agify ‑ Age Check/Verification	(0)"
"Shadowfax","https://apps.shopifycdn.com/listing_images/73ddad1826cc958b27642b0e00bcde01/icon/73997281c02f9e003dfecf5cf784083a.jpg?height=84&quality=90&width=84",0,"Swift, Seamless, and Secure last mile deliveries","Shadowfax	(0)"
"Amperstand","https://apps.shopifycdn.com/listing_images/94ea0445b4d42da759ef481540e24ec2/icon/c6f8e9429d0106c83d43399adc64ff6e.jpg?height=84&quality=90&width=84",0,"Host live shopping events on your storefront","Amperstand	(0)"
"Ecodrive","https://apps.shopifycdn.com/listing_images/392e0b47be590101a738afe434dc1031/icon/57ff70dece8fccd513f4438948dd87b7.jpeg?height=84&quality=90&width=84",0,"E-com carbon offsets through tree planting with customers","Ecodrive	(0)"
"Youcanoffer","https://apps.shopifycdn.com/listing_images/568cbcabc14a6f340f9ed0ec3b03e22c/icon/9907707d32eda5c62611daa7a9acfcb3.png?height=84&width=84",0,"Beautiful chatbot to convert more sales","Youcanoffer	(0)"
"Urb‑it Shipping Module","https://apps.shopifycdn.com/listing_images/d048e19b1b46a4156d09032733c1448a/icon/81b9c72943e83d67e7ee2c6561183ff0.jpg?height=84&quality=90&width=84",0,"CITY DELIVERIES. MADE BETTER.","Urb‑it Shipping Module	(0)"
"Rothco Product Import and Sync","https://apps.shopifycdn.com/listing_images/deea8e89cb25a5d9269f66e659960fa6/icon/ecde10928c4645a765ded8f44bcf459b.png?height=84&width=84",0,"Auto sync data from Rothco and import to your store","Rothco Product Import and Sync	(0)"
"ALPHA: Simple Discount Upsell","https://apps.shopifycdn.com/listing_images/3e809f875c8c7f4975e920b662d791aa/icon/c6fc88bffcd9df849f22e4d252fc09c0.png?height=84&width=84",0,"Boost Revenue with in cart upsell & popup product upsell","ALPHA: Simple Discount Upsell	(0)"
"Intelistyle:AI Fashion Styling","https://apps.shopifycdn.com/listing_images/8dfc7402067a8beeb19effd652760977/icon/febf70f1acaca98f5bebf8b9fb78a87f.png?height=84&width=84",0,"Fashion Stylist Chatbot & Complete The Look Personalization","Intelistyle:AI Fashion Styling	(0)"
"Social Proof Popup Maker","https://apps.shopifycdn.com/listing_images/d9ee03d3efc62327ec81a85c6bc56bf5/icon/9d49d3706df99a570e5f1cce4fe4141f.png?height=84&width=84",0,"Marketing Toolkit for Lead Generation, Email Opt-ins & Popups","Social Proof Popup Maker	(0)"
"ReferralYard: All in 1 place","https://apps.shopifycdn.com/listing_images/392f759faf926e68a514f2ad6da1e4d7/icon/421a0af2ae6fea5a19258a7b9dfbaa4c.jpg?height=84&quality=90&width=84",0,"Referral Program, Rewards, Campaigns and Popups all in 1 Place","ReferralYard: All in 1 place	(0)"
